"language","salary","details"
"Java","12,60,194","Web development, Game development, Mobile apps, Building web servers"
"Python","13,99,705","App development, Machine Learning, Data science, Back end development"
"C","7,148,099","Operating system development, Compilers"
"C plus plus","12,95,652","App development, Game development, Animation"
"C Sharp","12,99,485","Game development, Desktop application, mobile apps, VR"
"PHP","13,10,985","Back-end developer, Web development, Data Analytics, Processing of Images"
"SQL","11,82,570","Database management, Sales reports, Business management"
"R","6,723,005",Data Analytics
"Go","8,165,782","Big Data, Audio/video editing, System and network programming"
"HTML","5,152,110","Web documents, Web development, Website maintenance"
"Swift","8,500,601",App development
"JavaScript","7,375,123","Web development, Game development, Mobile apps, Building web servers"
"Kotlin","9,571,004",Android app development
"Rust","6,780,374","Operating systems, VR, Web browsers"
"Matlab","6,392,369","Embedded Systems, Internet of Things, Robotics, Data Analytics, Deep Learning"
"CSS","2,306,727","Web documents, Web development, Website design"
"NoSQL","8,805,859","Database management, Sales reports, Business management"
"Perl","9,85,236","System administration, GUI development, Network programming"